StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,Where are you from?,Have you done the following activities before? (Please select 'yes' or 'no') - Hiking,Have you done the following activities before? (Please select 'yes' or 'no') - Scuba Diving,Have you done the following activities before? (Please select 'yes' or 'no') - Kayaking,Have you done the following activities before? (Please select 'yes' or 'no') - Bungee jumping,Have you done the following activities before? (Please select 'yes' or 'no') - White water rafting,Have you done the following activities before? (Please select 'yes' or 'no') - Ziplining,Have you done the following activities before? (Please select 'yes' or 'no') - Rock climbing,Have you done the following activities before? (Please select 'yes' or 'no') - Canyoneering,Have you done the following activities before? (Please select 'yes' or 'no') - Cliff jumping,Have you done the following activities before? (Please select 'yes' or 'no') - Sky diving,"If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Hiking","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Scuba Diving","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Kayaking","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Bungee jumping","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - White water rafting","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Ziplining","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Rock climbing","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Canyoneering","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Cliff jumping","If you had the opportunity do the following activities, would you do them? (Please select 'yes' or 'no') - Sky diving"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}"
2020-07-28 11:27:01,2020-07-28 11:32:42,IP Address,73.232.64.215,100,341,True,2020-07-28 11:32:42,R_2Vkj62UQGYbWbMU,,,,,30.1707000732421875,-95.50189971923828125,anonymous,EN,31,Texas,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
2020-07-28 11:23:53,2020-07-28 11:33:58,IP Address,99.162.154.80,100,605,True,2020-07-28 11:33:58,R_2Ui3cQYNZwU2iAo,,,,,37.84869384765625,-122.2209014892578125,anonymous,EN,15,Bay Area,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2020-07-28 11:35:48,2020-07-28 11:35:56,IP Address,70.106.235.100,100,7,True,2020-07-28 11:35:56,R_3ls29YN4FwBGYha,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
2020-07-28 11:40:52,2020-07-28 11:43:17,IP Address,70.106.235.100,100,144,True,2020-07-28 11:43:17,R_O741uX4wUMPutnH,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,15,Virginia,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2020-07-28 11:46:34,2020-07-28 11:47:15,IP Address,136.56.94.36,100,40,True,2020-07-28 11:47:15,R_10IPHV0OBjfgmEW,,,,,35.8047027587890625,-78.88809967041015625,anonymous,EN,16,Cary,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
2020-07-28 11:45:53,2020-07-28 11:47:16,IP Address,24.162.242.213,100,83,True,2020-07-28 11:47:17,R_d45mFW1UFOXu1YB,,,,,35.8047027587890625,-78.88809967041015625,anonymous,EN,16,North Carolina (Cary),No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
2020-07-28 11:48:57,2020-07-28 11:49:36,IP Address,65.190.130.158,100,38,True,2020-07-28 11:49:36,R_3Hk2KFXhNSALR52,,,,,35.717803955078125,-78.84279632568359375,anonymous,EN,17,"Morrisville, North Carolina",Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 11:49:55,2020-07-28 11:50:45,IP Address,75.75.24.198,100,50,True,2020-07-28 11:50:46,R_3g4KKhb1A5w57jZ,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,16,Virginia,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
